query,chunk_ids,complexity
How does Insomnia influence empagliflozin and metformin in terms of side effects?,"[789, 819, 799]",complex
How does Hayfever compare to hydrochlorothiazide and fosinopril in terms of side effects?,"[1024, 1025, 1026]",intermediate
"What are the side effects of Prempro, and how does it compare to Sulfur and Salicylic Acid Shampoo?","[128, 107, 1374]",intermediate
What can you tell me about Pain's side effects?,"[1377, 1378, 1379]",simple
"What are the side effects of Osteoarthritis, and how does it compare to sulfasalazine?","[1264, 1265, 1266]",intermediate
Tell me about the side effects of Expectorants.,"[384, 398, 401]",simple
What can you tell me about Angiotensin II inhibitors with thiazides's side effects?,"[1076, 1096, 1111]",simple
"How does Narcotic analgesic combinations influence Estarylla, Femynor, Mili, Mono-Linyah, MonoNessa, Ortho Tri-Cyclen (28), Ortho Tri-Cyclen Lo, Ortho-Cyclen (28), Previfem, Sprintec 28, Tri Femynor, Tri-Estarylla, Tri-Linyah, Tri-Lo-Estarylla, Tri-Lo-Marzia, Tri-Lo-Mili, Tri-Lo-Sprintec, Tri-Mili, Tri-Previfem, Tri-Sprintec, Tri-VyLibra, Tri-VyLibra Lo, TriNessa (28), TriNessa Lo, VyLibra in terms of side effects?","[1473, 1508, 1381]",complex
"Tell me about the side effects of hives , itching, wheezing, difficult breathing, feeling like you might pass out, swelling of your face, lips, tongue, or throat. The botulinum toxin contained in Botox can spread to other body areas beyond where it was injected. This has caused serious life-threatening side effects in some people receiving botulinum toxin....",[],simple
"How does perphenazine influence acetaminophen, chlorpheniramine, dextromethorphan, and pseudoephedrine in terms of side effects?","[376, 490, 531]",complex
"What are the side effects of irbesartan, and how does it compare to Upper respiratory combinations?","[512, 513, 514]",intermediate
"How does Balnetar, DHS Tar Shampoo, Elta Tar, Ionil T, MG217 Medicated Tar, Neutrogena T/Gel, Oxipor VHC, Psoriasin, Scytera, Tarsum, Tegrin Medicated, Theraplex T compare to Colds & Flu in terms of side effects?","[512, 513, 514]",intermediate
Tell me about the side effects of insulin regular.,"[732, 733, 735]",simple
How does Flu & Severe Cold & Cough Daytime Powder influence Colds & Flu in terms of side effects?,"[512, 513, 514]",complex
"How does Osteoarthritis compare to hives , difficult breathing, swelling of your face, lips, tongue, or throat. This medicine may cause serious side effects. Stop using this medicine and call your doctor at once if you have: fast, slow, or uneven heart rate, severe headache, mood changes, hallucinations, severe dizziness or anxiety , feeling like... in terms of side effects?","[1264, 1265, 1266]",intermediate
How does Depression compare to Cimzia in terms of side effects?,"[1589, 695, 696]",intermediate
What can you tell me about Angina's side effects?,"[261, 262, 263]",simple
"What can you tell me about chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should give naloxone and/or seek emergency medical...'s side effects?",[],simple
"What can you tell me about hives , difficult breathing, swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: severe or ongoing nosebleed, sores in the nose that won't heal, blurred vision, eye pain , or seeing halos around lights, signs of a hormonal disorder - worsening tiredness or...'s side effects?",[],simple
"How does hives , difficulty breathing, swelling of your face, lips, tongue, or throat. budesonide nasal may cause serious side effects. Stop using budesonide nasal and call your doctor at once if you have: come into contact with anyone who has chickenpox, measles or tuberculosis , severe or ongoing nosebleeds , vision... compare to ranolazine in terms of side effects?",[266],intermediate
"What can you tell me about PanOxyl can cause a rare but serious allergic reaction or severe skin irritation. These reactions may occur just a few minutes after you apply the medicine, or within a day or longer afterward. Stop using this medicine and get emergency medical help if you have signs of an allergic reaction...'s side effects?",[],simple
Tell me about the side effects of Topical acne agents.,"[5, 8, 9]",simple
What can you tell me about Angiotensin Converting Enzyme Inhibitors's side effects?,"[1063, 1069, 1072]",simple
"How does Acnevir, CeraVe SA Renewing, Compound W, DermalZone, Dermarest Psoriasis Skin Treatment, Dr Scholl's Corn Removers, Freezone Corn Remover, Keralyt, Mediplast, Salex, Scalpicin Scalp Relief, Stri-Dex, Wart Remover, Xalix compare to Miscellaneous antihypertensive combinations in terms of side effects?","[132, 1124, 1103]",intermediate
"How does Activase, Cathflo Activase compare to acetaminophen, caffeine, and dihydrocodeine in terms of side effects?","[1473, 1643, 1508]",intermediate
Tell me about the side effects of Prevacid.,[941],simple
What can you tell me about Topical acne agents's side effects?,"[5, 8, 9]",simple
What can you tell me about Depen's side effects?,[1601],simple
"What can you tell me about Beconase AQ, Qnasl, Vancenase AQ, Vancenase AQ DS's side effects?",[1008],simple
"What are the side effects of dicloxacillin, and how does it compare to Antihistamines, Phenothiazine antiemetics?","[998, 1006, 403]",intermediate
How does GERD (Heartburn) compare to DermOtic Oil in terms of side effects?,"[910, 935, 936]",intermediate
What can you tell me about Acne's side effects?,"[0, 1, 2]",simple
"Compare the side effects of metformin and sitagliptin and Alli, Xenical.","[768, 776, 1678]",complex
"Compare the side effects of Acne and redness, warmth, swelling, itching, stinging, burning, or irritation of treated skin..","[0, 1, 2]",complex
How does Minitran influence Topical rubefacient in terms of side effects?,"[1423, 1301, 1302]",complex
Tell me about the side effects of temazepam.,[1188],simple
How does Mellaril influence Botox in terms of side effects?,"[1180, 1612]",complex
"What are the side effects of thyroid desiccated, and how does it compare to Migraine?","[1155, 1157, 1158]",intermediate
What can you tell me about Acne's side effects?,"[0, 1, 2]",simple
How does sodium biphosphate / sodium phosphate compare to Non-cardioselective beta blockers in terms of side effects?,"[291, 270, 271]",intermediate
"How does dextroamphetamine compare to hives , difficult breathing, swelling of your face, lips, tongue, or throat. Magnesium oxide may cause serious side effects. Stop using magnesium oxide and call your doctor at once if you have: rectal bleeding , coughing up blood or vomit that looks like coffee grounds, bloody or tarry stools, or... in terms of side effects?",[157],intermediate
Tell me about the side effects of minocycline.,[2],simple
"What are the side effects of ranolazine, and how does it compare to Acne?","[0, 1, 2]",intermediate
"How does Ryvent influence WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side... in terms of side effects?",[1056],complex
How does Dymista compare to Children's Silapap in terms of side effects?,"[1405, 1022]",intermediate
How does Benzodiazepines influence fluticasone and vilanterol in terms of side effects?,"[292, 1188, 294]",complex
"Compare the side effects of Eczema and hives , difficulty breathing, swelling of your face, lips, tongue, or throat. In rare cases, acetaminophen may cause a severe skin reaction that can be fatal. This could occur even if you have taken acetaminophen in the past and had no reaction. Stop taking this medicine and call your doctor....","[896, 897, 898]",complex
How does Wal-itin compare to aripiprazole (injection) in terms of side effects?,"[1608, 1020]",intermediate
"How does Altreno, Atralin, Refissa, Renova, Retin-A influence pregabalin in terms of side effects?","[48, 1392]",complex
"How does chlorpheniramine, ibuprofen, and pseudoephedrine compare to Acne in terms of side effects?","[0, 1, 2]",intermediate
